Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
May,Haugland,Knudsenlyngen 10,Johannesnes,2504,Norge,NO,19541108-5411,+47,07518907,1954-11-08,True
Ole,Pettersen,Bakkenstykket 2,Hauge,4727,Norge,NO,19660609-3695,+47,46733496,1966-06-09,True
Madelene,Strand,Åkertorget 784,Motala,54475,Sverige,SE,19990221-1376,+46,+46 (0)8 061 352 82,1999-02-21,True
Roar,Olsen,Jenssenstranda 1,Larsby,9396,Norge,NO,19750731-6130,+47,+4737915352,1975-07-31,True
Emil,Andersson,Åkertorget 079,Lidingö,94498,Sverige,SE,19450719-8304,+46,08-914 668 92,1945-07-19,True
Svein,Sørensen,Sandviktoppen 2B,Bentevik,4415,Norge,NO,19551020-0071,+47,+47 42 41 01 24,1955-10-20,True
Luke,Allen,Rodriguez Light 08378,New Johnbury,71358,Danmark,DK,19470306-2388,+45,820-936-7543x83907,1947-03-06,True
Andreas,Myhre,Christensenringen 4B,Haug,3647,Norge,NO,20000522-4252,+47,419 46 546,2000-05-22,True
Roy,Henriksen,Henriksengropa 2A,Tonestrøm,8521,Norge,NO,19851013-6310,+47,43303866,1985-10-13,True
Linnéa,Stenström,Stortorget 38,Karlskoga,65160,Sverige,SE,19710505-3172,+46,066-11 97 89,1971-05-05,True
Emil,Larsson,Nyvägen 326,Trollhättan,86896,Sverige,SE,19850216-7885,+46,+46 (0)8 284 375 14,1985-02-16,True
Oskari,Rantanen,Betleheminpolku 5,Nokia,08724,Finland,FI,19690925-767W,+358,+358 891553525,1969-09-25,True
Linnea,Sjöblom,Stationsgränd 1,Ängelholm,73744,Sverige,SE,19491012-5583,+46,08-709 644 50,1949-10-12,True
Alice,Lundgren,Nytorget 631,Piteå,74793,Sverige,SE,19540902-1740,+46,+46 (0)875 958 26,1954-09-02,True
Sander,Ahmed,Thorsenflata 68,Solveigsund,4972,Norge,NO,19790320-6875,+47,474 42 620,1979-03-20,True
Siv,Söderlund,Skogsgatan 64,Örebro,11444,Sverige,SE,19480104-4202,+46,0341-94 51 28,1948-01-04,True
My,Karlsson,Storvägen 74,Karlskoga,31199,Sverige,SE,19650128-4065,+46,08-109 74 79,1965-01-28,True
Knut,Aas,Sivertsenberget 048,Rolfås,1056,Norge,NO,19570720-4002,+47,90669717,1957-07-20,True
Harald,Mathisen,Pettersenmyra 71,Eide,3592,Norge,NO,19460102-5268,+47,07083147,1946-01-02,True
Elisabet,Ericsson,Skoltorget 89,Landskrona,22286,Sverige,SE,19680814-5459,+46,+46 (0)8 369 310 83,1968-08-14,True
Russell,Pacheco,Moss Highway 532,Crawfordview,09770,Danmark,DK,19780130-3729,+45,001-652-488-2817x454,1978-01-30,True
Niklas,Järvinen,Orapihlajakuja 080,Lemi,49846,Finland,FI,19411218-6557,+358,+358 74 4298862,1941-12-18,True
Finn,Jensen,Bakketunet 8,Sørensen,4875,Norge,NO,19771201-1575,+47,99350817,1977-12-01,True
Curtis,Moran,David Valley 4521,East Danatown,86115,Danmark,DK,19940314-9525,+45,001-717-300-2891x4806,1994-03-14,True
Mohammad,Hagström,Parkstigen 197,Västerås,16000,Sverige,SE,19870815-2729,+46,0147-33 60 27,1987-08-15,True
May,Andresen,Rønningkroken 21H,Hannafjell,8085,Norge,NO,19670729-5217,+47,90121135,1967-07-29,True
Rita,Bakken,Eriksenmarka 2,Henriksen,4867,Norge,NO,19570918-9547,+47,65 59 41 52,1957-09-18,True
Andrew,Freeman,Smith Gateway 65705,Lesterview,78793,Danmark,DK,19431002-8501,+45,+1-387-616-7279x663,1943-10-02,True
Britt,Isaksen,Lieskogen 56G,Persand,5874,Norge,NO,19910331-3991,+47,66 48 18 13,1991-03-31,True
Kristen,White,Sharon Cove 139,New Courtneyville,64229,Danmark,DK,19540525-9038,+45,306-413-3944,1954-05-25,True
Simon,Karlsson,Furugränd 88,Motala,85078,Sverige,SE,19461230-5933,+358,08-08 21 25,1946-12-30,True
Tanja,Andersson,Nyvägen 47,Karlskrona,58450,Sverige,SE,19730626-5477,+46,08-335 11 52,1973-06-26,True
Lisbeth,Martinsson,Strandstigen 60,Uddevalla,44422,Sverige,SE,19680816-4017,+46,+46 (0)8 505 709 86,1968-08-16,True
Hamza,Nilsson,Fabriksvägen 8,Jönköping,22847,Sverige,SE,19650817-5534,+46,+46 (0)87 61 70 83,1965-08-17,True
Margaret,Johns,King Village 14271,Lake Vickie,75428,Danmark,DK,19690501-3170,+45,(559)774-7117x10055,1969-05-01,True
Mark,Lucas,Ashley Gateway 8731,Lake Ryan,56834,Danmark,DK,19510228-5784,+45,9396878075,1951-02-28,True
Joel,Persson,Kyrkostigen 6,Umeå,74850,Sverige,SE,19830408-6198,+46,08-517 559 11,1983-04-08,True
Holly,Williams,Gonzalez Estates 98596,Sandraburgh,26798,Danmark,DK,19610718-2374,+45,001-468-229-4341x22945,1961-07-18,True
Britt,Gustafsson,Kyrkvägen 392,Sandviken,15311,Sverige,SE,19620521-3801,+46,+46 (0)8 513 139 68,1962-05-21,True
Linn,Rønning,Hagenhavna 83,Håkonstad,2811,Norge,NO,19840704-8107,+47,15450412,1984-07-04,True
Jessica,Andrews,Jamie Club 158,West Debra,64353,Danmark,DK,19740417-9571,+45,761.408.1382,1974-04-17,True
Joakim,Nilsson,Kyrkvägen 23,Motala,20467,Sverige,SE,19960225-9616,+46,08-621 528 24,1996-02-25,True
Christina,Svensson,Ängstorget 36,Lidingö,56829,Sverige,SE,19730916-2071,+46,08-034 62 96,1973-09-16,True
Eva,Karlsson,Skolgränd 139,Skellefteå,22525,Sverige,SE,19530515-8067,+46,08-29 10 27,1953-05-15,True
Emilie,Simonsen,Hanssentoppen 7,Ruud,3145,Norge,NO,19911027-3166,+46,63 96 37 93,1991-10-27,True
Elias,Karlsson,Industrivägen 21,Umeå,54766,Sverige,SE,19820517-3487,+46,071-77 86 20,1982-05-17,True
Jørgen,Sæther,Olsenbakken 6,Hannavær,7829,Norge,NO,19970929-5992,+47,16106115,1997-09-29,True
Artur,Klasson,Kyrkstigen 40,Lund,83584,Sverige,SE,19920727-8624,+46,+46 (0)8 427 041 72,1992-07-27,True
Maria,Sandberg,Fabriksstigen 421,Jönköping,25092,Sverige,SE,19720404-9891,+46,0195-72 52 15,1972-04-04,True
Emilie,Johnsen,Bakkehavna 1,Marteås,7943,Norge,NO,19540525-3648,+47,55 49 87 82,1954-05-25,True
David,Hill,Black Road 4874,Lake Carl,23105,Danmark,DK,19540520-6470,+45,597.567.6736x565,1954-05-20,True
Laura,Bennett,David Hill 04360,West Christinefurt,22676,Danmark,DK,19751023-5684,+45,(518)959-5763,1975-10-23,True
Jan,Lindholm,Järnvägsvägen 126,Örebro,95403,Sverige,SE,19870507-4476,+46,08-604 921 35,1987-05-07,True
Peter,Nilsson,Industristigen 892,Västerås,75254,Sverige,SE,19710912-7114,+46,08-71 37 82,1971-09-12,True
Leif,Larsen,Tangenbråten 6,Mathisen,1714,Norge,NO,19811106-9068,+47,472 92 881,1981-11-06,True
Charlotte,Pålsson,Kyrkvägen 48,Nyköping,82509,Sverige,SE,19740707-4089,+46,0955-07 06 64,1974-07-07,True
Gerd,Aas,Knudsenflata 39C,Paulsen,8230,Norge,NO,19520523-9040,+47,92248704,1952-05-23,True
Astrid,Gustafsson,Fabriksgränd 50,Göteborg,68663,Sverige,SE,19630114-7852,+46,08-057 625 68,1963-01-14,True
Tyra,Andersson,Storgränd 79,Borås,75452,Sverige,SE,19950906-3216,+46,08-356 62 60,1995-09-06,True
Lars,Lindén,Idrottsgränd 2,Skellefteå,76835,Sverige,SE,19800228-1376,+46,066-607 21 34,1980-02-28,True
Tage,Larsson,Parkgränd 27,Alingsås,81452,Sverige,SE,19550615-4438,+46,+46 (0)936 007 60,1955-06-15,True
Jan,Pettersson,Idrottsgatan 36,Falun,68542,Sverige,SE,19820308-1031,+46,0551-470 40,1982-03-08,True
Asbjørn,Kristensen,Moenlyngen 7,Livodden,3441,Norge,NO,19990620-7402,+47,96041721,1999-06-20,True
Laila,Solberg,Lienstien 2,Jakobsen,7802,Norge,NO,19450621-4770,+47,+47 66 50 10 92,1945-06-21,True
Jon,Hanssen,Strømfaret 8,Andreassen,4313,Norge,NO,19480912-7721,+47,40346243,1948-09-12,True
Jenny,Svahn,Kvarnvägen 354,Borlänge,67632,Sverige,SE,19980425-8400,+46,0831-98 36 05,1998-04-25,True
Mikael,Sandström,Idrottsgatan 491,Göteborg,41054,Sverige,SE,19470809-4174,+46,0521-68 62 52,1947-08-09,True
Love,Sandberg,Kyrkgränd 14,Motala,12270,Sverige,SE,19631109-0529,+46,0589-463 61,1963-11-09,True
Grethe,Jacobsen,Jakobseneggen 5,Linnvær,4018,Norge,NO,19970301-7180,+47,76667123,1997-03-01,True
Ann,Nordström,Industritorget 0,Piteå,50917,Sverige,SE,20000606-1751,+46,+46 (0)16 52 80 49,2000-06-06,True
Siri,Sæther,Hauglandkollen 4,Sandervåg,4503,Norge,NO,19740108-1704,+47,970 07 253,1974-01-08,True
Elizabeth,Jones,Stacey Place 853,West Veronica,69582,Danmark,DK,19821227-6885,45,793.356.9133x448,1982-12-27,True
Louise,Brandt,Genstigen 29,Östersund,42703,Sverige,SE,19530606-1206,+46,+46 (0)8 456 131 29,1953-06-06,True
May,Haug,Sætherkollen 57,Kristofferborg,9948,Norge,NO,19850504-2960,+47,48444322,1985-05-04,True
Elisabeth,Davidsson,Stationsgränd 98,Malmö,52862,Sverige,SE,20000508-7945,+46,026-10 39 38,2000-05-08,True
Signe,Söderström,Strandgatan 12,Motala,67096,Sverige,SE,19491025-6842,+46,0081-51 96 89,1949-10-25,True
Matthew,Smith,Andrew Square 149,Lake Erikashire,88086,Danmark,DK,19531123-9542,+45,816.831.6056x5800,1953-11-23,True
Michael,Baker,Shelly Passage 3748,East Joelland,76732,Danmark,DK,19430105-4238,+45,717.807.0101x2307,1943-01-05,True
Sven,Ahlström,Trädgårdsstigen 34,Borås,79432,Sverige,SE,19880416-2233,+46,+46 (0)902 509 69,1988-04-16,True
Bertil,Nyberg,Kvarntorget 88,Stockholm,59172,Sverige,SE,19431012-4483,+46,+46 (0)16 60 29 15,1943-10-12,True
Britt,Olsson,Nystigen 1,Malmö,40857,Sverige,SE,19660328-0385,+46,048-364 94 48,1966-03-28,True
Gro,Jacobsen,Tangengropa 1,Moe,7536,Norge,NO,19860325-1073,+47,91067527,1986-03-25,True
Mikael,Salminen,Elonpolku 98,Keuruu,00929,Finland,FI,19681120-3881,+358,+358 969205750,1968-11-20,True
Göte,Rydén,Idrottsvägen 33,Örnsköldsvik,70017,Sverige,SE,19560401-0490,+46,0314-92 12 30,1956-04-01,True
Lennart,Lindberg,Villagränd 5,Lidingö,38711,Sverige,SE,19830723-1907,+46,+46 (0)592 577 85,1983-07-23,True
Margareta,Stark,Idrottsstigen 023,Ängelholm,33779,Sverige,SE,19651110-4449,+46,+46 (0)8 338 851 99,1965-11-10,True
Andreas,Jeppsson,Skolvägen 19,Norrköping,31937,Sverige,SE,19910714-9643,+46,+46 (0)936 869 72,1991-07-14,True
Amanda,Wiberg,Strandvägen 8,Lidingö,52866,Sverige,SE,19570522-4459,+46,+46 (0)64 16 27 20,1957-05-22,True
Sebastian,Svendsen,Brekkeløkka 22,Jakobsen,9366,Norge,NO,19790227-8908,+47,+47 87 03 74 62,1979-02-27,True
Roger,Ek,Gentorget 18,Norrköping,72129,Sverige,SE,19630513-3013,+46,+46 (0)287 593 87,1963-05-13,True
Axel,Ivarsson,Kyrkogränd 053,Lidingö,51687,Sverige,SE,19650227-0179,+46,08-67 36 45,1965-02-27,True
Cynthia,Houston,Keith Plain 6736,Lake Isaac,81006,Danmark,DK,19710527-3586,+45,(508)527-3812x1943,1971-05-27,True
Felicia,Sundström,Skolvägen 42,Motala,94928,Sverige,SE,19980206-9447,+46,+46 (0)627 137 53,1998-02-06,True
Michael,Carter,Mayer Alley 55993,Ericland,87311,Danmark,DK,19410913-7857,+45,+1-275-938-2467x597,1941-09-13,True
Leonard,Hagström,Villavägen 34,Lund,69135,Sverige,SE,19611103-4818,+46,031-101 39 32,1961-11-03,True
Emil,Ali,Trädgårdsgatan 122,Östersund,36641,Sverige,SE,19661008-9565,+46,+46 (0)489 981 72,1966-10-08,True
Isabella,Larsson,Ekvägen 50,Östersund,10674,Sverige,SE,19741120-0181,+46,+46 (0)505 993 13,1974-11-20,True
Bo,Lönn,Idrottsvägen 584,Växjö,33768,Sverige,SE,19890911-1360,+46,0657-73 99 94,1989-09-11,True
Heather,Bradford,Ashley Lane 85205,North Eric,40935,Danmark,DK,19870319-5327,+45,+1-962-450-5842x47578,1987-03-19,True
Margareta,Lidén,Trädgårdstorget 75,Linköping,69766,Sverige,SE,19801106-2357,+46,08-54 61 75,1980-11-06,True
Kjell,Larsson,Industrivägen 17,Norrköping,64253,Sverige,SE,19570518-3147,+46,+46 (0)8 472 542 22,1957-05-18,True
Alfons,Nilsson,Fabrikstorget 5,Karlstad,71235,Sverige,SE,19730106-6363,+46,08-629 839 15,1973-01-06,True
Olivia,Sawyer,Andrew Ports 2668,Cannonhaven,35041,Danmark,DK,19400825-5721,+45,703-786-0608x315,1940-08-25,True
Eirik,Eriksen,Sandviklia 7,Sigurdvåg,2242,Norge,NO,19430611-5435,+47,97274194,1943-06-11,True
Juhani,Kosonen,Bengalinbulevardi 1,Lieksa,34165,Finland,FI,19881001-634A,+358,+358374392830,1988-10-01,True
Ludvig,Borgström,Industrigränd 344,Lidköping,45039,Sverige,SE,19570401-8146,+46,+46 (0)431 075 57,1957-04-01,True
Ludvig,Melin,Industrivägen 6,Gävle,72255,Sverige,SE,19890711-6506,+46,0795-570 58,1989-07-11,True
Eero,Vainio,Walentin Chorellin bulevardi 141,Savukoski,62197,Finland,FI,19700411-441X,+358,006 250 6478,1970-04-11,True
Amber,Greer,Richard Way 1301,Sabrinachester,74440,Danmark,DK,19880531-5412,+45,898.302.2612,1988-05-31,True
Amber,Wilson,Diaz Course 5211,Thomasbury,99726,Danmark,DK,19821105-4071,+45,824-660-3901,1982-11-05,True
Gwendolyn,Brown,Amanda Shore 409,South Derek,70866,Danmark,DK,19680106-6661,+45,(917)653-3431,1968-01-06,True
Elisabet,Edström,Skolgatan 658,Karlskrona,75203,Sverige,SE,19520429-9312,+46,08-58 79 56,1952-04-29,True
Tone,Thorsen,Holmhaugen 5,Svendsen,2215,Norge,NO,19590927-6511,+47,95572706,1959-09-27,True
Anette,Hammar,Parkgatan 7,Varberg,56611,Sverige,SE,19620630-2587,+46,0764-37 70 96,1962-06-30,True
Grethe,Danielsen,Andreassenroa 040,Øysteinnes,6058,Norge,NO,19800425-0743,+47,76530612,1980-04-25,True
Sixten,Hansson,Idrottsgatan 9,Lidköping,94356,Sverige,SE,19741225-8946,+46,08-49 86 82,1974-12-25,True
Göran,Östlund,Ekgatan 6,Örebro,46846,Sverige,SE,19940208-2562,+46,+46 (0)28 09 68 68,1994-02-08,True
Aino,Väisänen,Rukoushuoneenbulevardi 025,Oripää,93596,Finland,FI,19490622-233T,+358,+358 36 9110648,1949-06-22,True
Ove,Eriksson,Parkgatan 453,Trelleborg,88509,Sverige,SE,19851123-5472,+46,062-073 64 09,1985-11-23,True
Caleb,Hahn,Contreras Glen 4581,Erinville,20621,Danmark,DK,19830720-0407,+45,863.385.7771,1983-07-20,True
Peter,Gustafsson,Kyrkgatan 47,Uddevalla,43699,Sverige,SE,19920524-5128,+46,079-824 11 70,1992-05-24,True
Denise,Ballard,Gonzales Shore 99707,Lake Thomasview,03240,Danmark,DK,19600422-4016,+45,470-360-9719,1960-04-22,True
Stine,Hansen,Solheimlyngen 3E,Karenfjell,6644,Norge,NO,20000927-3512,+47,04 91 62 67,2000-09-27,True
George,Moberg,Aspgränd 4,Norrköping,77762,Sverige,SE,19550828-3137,+46,+46 (0)37 06 25 04,1955-08-28,True
Linnéa,Hallberg,Stationsgränd 1,Mölndal,32545,Sverige,SE,19420814-8325,+46,+46 (0)72 23 03 62,1942-08-14,True
Esther,Johansson,Villagränd 2,Karlskrona,87626,Sverige,SE,19471115-7980,+46,016-550 29 01,1947-11-15,True
Cecilia,Jansson,Bäckvägen 75,Norrköping,80372,Sverige,SE,19680304-5287,+46,08-817 639 57,1968-03-04,True
Markus,Sørensen,Johansentoppen 7,Trineøy,1615,Norge,NO,19960412-0168,+47,417 36 698,1996-04-12,True
Malin,Nguyen,Nielsenbråten 98,Hannesand,3613,Norge,NO,19720425-3395,+47,41382077,1972-04-25,True
Christin,Nyberg,Björkvägen 1,Eskilstuna,42398,Sverige,SE,19410322-4927,+46,+46 (0)8 691 956 57,1941-03-22,True
Klara,Andersson,Åkervägen 8,Göteborg,74784,Sverige,SE,19490919-7728,+46,019-410 50 31,1949-09-19,True
Anja,Lidén,Kvarngatan 640,Ängelholm,35651,Sverige,SE,19990405-5528,+46,0828-247 70,1999-04-05,True
Nora,Edvardsen,Myhrekroken 1A,Marieodden,7337,Norge,NO,19591102-9602,+47,49507511,1959-11-02,True
Anas,Lindgren,Nytorget 5,Malmö,41271,Sverige,SE,19820715-8577,+46,0331-33 14 26,1982-07-15,True
Ludwig,Hagström,Björkvägen 60,Sundsvall,13995,Sverige,SE,19490613-2776,+46,+46 (0)8 173 772 82,1949-06-13,True
Heli,Partanen,Niittyläntie 328,Vieremä,71441,Finland,FI,19940819-512L,+358,(+358) 102658666,1994-08-19,True
Juhani,Jönsson,Kvarnvägen 953,Sundsvall,48660,Sverige,SE,19881118-8544,+46,+46 (0)672 876 33,1988-11-18,True
Pirkko,Pöllänen,Fagottibulevardi 462,Kristiinankaupunki,85906,Finland,FI,19921021-402B,+358,0729232189,1992-10-21,True
Robert,Sjöberg,Skolvägen 1,Göteborg,27534,Sverige,SE,19670516-7758,+46,08-98 11 48,1967-05-16,True
Erik,Persson,Åkerstigen 3,Kristianstad,49729,Sverige,SE,19620926-9368,+46,08-476 910 26,1962-09-26,True
Tobias,Lien,Nielsenekra 55,Alfby,1030,Norge,NO,19751117-4533,+47,46 86 97 32,1975-11-17,True
Jonathan,Morris,Thomas Shores 019,West Benjaminburgh,53216,Danmark,DK,19510213-5168,+45,567.572.9637,1951-02-13,True
Ragnhild,Nilsson,Kyrkvägen 187,Mölndal,72330,Sverige,SE,19761201-8102,+46,011-86 82 60,1976-12-01,True
Chad,Gonzalez,Daniel Street 2137,Amyville,42671,Danmark,DK,19991124-6978,+45,3617367875,1999-11-24,True
Elisabeth,Hansen,Aspgatan 30,Varberg,25698,Sverige,SE,19650920-2430,+46,08-541 590 48,1965-09-20,True
Bjørg,Svendsen,Nielsensvingen 3,Pettersen,5384,Norge,NO,19891127-8574,+47,47885591,1989-11-27,True
Lars,Gustafsson,Skogsgränd 1,Lidköping,48938,Sverige,SE,19690911-3417,+46,08-319 769 60,1969-09-11,True
Irene,Lidén,Skolvägen 852,Helsingborg,58787,Sverige,SE,19590223-9081,+46,0849-44 00 76,1959-02-23,True
Ola,Gulbrandsen,Johansengata 23,Madsen,7602,Norge,NO,19821005-8762,+47,84 02 55 65,1982-10-05,True
Kjetil,Antonsen,Knudsenmoen 7D,Sivertsen,9774,Norge,NO,19870711-7799,+47,44401683,1987-07-11,True
Ulla,Svensson,Ekvägen 2,Borlänge,79356,Sverige,SE,19970417-0929,+46,08-721 707 65,1997-04-17,True
Thi,Edström,Backvägen 68,Halmstad,52662,Sverige,SE,19881130-5414,+46,064-62 92 22,1988-11-30,True
Rolf,Ødegård,Johansentoppen 7,Karingrunn,3404,Norge,NO,19740915-9656,+47,22762948,1974-09-15,True
Susanne,Dahl,Ängsstigen 931,Kristianstad,86088,Sverige,SE,19870521-7257,+46,049-93 77 66,1987-05-21,True
Louise,Jonsson,Ringgatan 89,Lidköping,35178,Sverige,SE,19690704-6748,+46,0860-55 13 15,1969-07-04,True
Katariina,Takala,Yrjönpolku 063,Luhanka,46904,Finland,FI,19530527-753A,+358,+358 654360181,1953-05-27,True
Mattias,Österberg,Nystigen 01,Halmstad,10563,Sverige,SE,19880629-7516,+46,0493-280 86,1988-06-29,True
Gunn,Christensen,Kristiansenvollen 142,Hansen,0916,Norge,NO,19410115-0083,+47,+47 34 37 83 86,1941-01-15,True
Jonas,Mathisen,Knudsengata 5C,Lenemark,7405,Norge,NO,19840327-1032,+47,+47 27 26 34 82,1984-03-27,True
Pasi,Rantanen,Fallpakantie 329,Haapavesi,61371,Finland,FI,19410301-645N,+358,0426650336,1941-03-01,True
Gustav,Nguyen,Parkvägen 41,Kalmar,40979,Sverige,SE,19841216-5575,+46,+46 (0)512 216 57,1984-12-16,True
Jessica,White,Barrera Points 4608,Port Edwardshire,80959,Danmark,DK,19450829-7971,+45,001-624-280-0258x78457,1945-08-29,True
Kristin,Helland,Berntsenkollen 7,Sofiefoss,5861,Norge,NO,19440229-8630,+47,404 42 932,1944-02-29,True
Martin,Holmberg,Kyrkogatan 49,Karlstad,76441,Sverige,SE,19640829-6746,+46,+46 (0)04 58 61 57,1964-08-29,True
Dillon,Johnson,Castro Keys 26512,North Heatherland,54857,Danmark,DK,19660723-7655,+45,539-584-3314,1966-07-23,True
Matilda,Alanen,Ilmattarenbulevardi 2,Espoo,55188,Finland,FI,19600510-726K,+358,0577196146,1960-05-10,True
Gary,Gonzalez,Anthony Loaf 768,Port Tyrone,89448,Danmark,DK,19910615-3818,+45,3309586753,1991-06-15,True
Louise,Johansson,Strandgatan 2,Karlskoga,95881,Sverige,SE,19421013-7755,+46,08-52 29 68,1942-10-13,True
Marius,Fredriksen,Moenmoen 1,Engen,7407,Norge,NO,19600902-6904,+47,400 98 586,1960-09-02,True
Emma,Andreasson,Björkvägen 84,Kristianstad,76973,Danmark,SE,19970803-5922,+46,+46 (0)24 11 46 71,1997-08-03,True
Linda,Landström,Kyrkvägen 8,Karlskoga,13742,Sverige,SE,19830116-8675,+46,0738-84 87 13,1983-01-16,True
Yusuf,Lantz,Björkgränd 606,Lidköping,76967,Sverige,SE,19860128-3580,+46,08-307 151 70,1986-01-28,True
Frida,Hassan,Villagränd 701,Mölndal,53415,Sverige,SE,19900812-7444,+46,08-208 48 55,1990-08-12,True
Gunnar,Rasmussen,Järnvägsgränd 32,Landskrona,24923,Sverige,SE,19690920-9521,+46,08-99 97 00,1969-09-20,True
Jo,Guerrero,Hunter Loop 381,Diazberg,58506,Danmark,DK,19970729-0669,+45,(419)501-4895x753,1997-07-29,True
Eirik,Gundersen,Christensengata 6,Jørgensen,1323,Norge,NO,20000520-9756,+47,964 02 221,2000-05-20,True
Inger,Andersson,Industritorget 065,Alingsås,51996,Finland,SE,19570316-7007,+46,0415-791 95,1957-03-16,True
Carina,Palm,Villatorget 7,Lidingö,63132,Sverige,SE,19960504-8463,+46,0907-302 81,1996-05-04,True
Matti,Lahtinen,Orvokkitie 77,Laukaa,65785,Finland,FI,19921111-738Y,+358,+358 663888122,1992-11-11,True
Sergio,Stephens,Anthony Points 864,Jeffreyberg,42030,Danmark,DK,19881028-4234,+45,795.523.9942,1988-10-28,True
Lauren,Ramos,Bryan Via 659,Terriville,68521,Danmark,DK,19740623-4433,+45,+1-427-448-1928x7337,1974-06-23,True
Anneli,Kauppinen,Ehrensvärdinpolku 81,Loimaa,35005,Finland,FI,19891018-4860,+358,0850875283,1989-10-18,True
Tomas,Bergkvist,Nyvägen 63,Norrköping,50212,Sverige,SE,19911019-5917,+46,08-912 45 05,1991-10-19,True
Charlotte,Westin,Storvägen 01,Ängelholm,90585,Sverige,SE,19530927-7427,+46,0444-86 16 69,1953-09-27,True
Amanda,Norman,Bäckgränd 227,Helsingborg,20994,Sverige,SE,19570225-0888,+46,+46 (0)727 611 14,1957-02-25,True
Turid,Karlsen,Isaksenfaret 22A,Dahl,8138,Norge,NO,19761030-0746,+47,904 27 274,1976-10-30,True
Birgit,Pettersson,Idrottsvägen 881,Alingsås,11204,Sverige,SE,19930102-1892,+46,+46 (0)8 060 442 37,1993-01-02,True
Gunnar,Pettersson,Järnvägsvägen 668,Linköping,13242,Sverige,SE,19700410-4795,+46,052-577 02 87,1970-04-10,True
Charlotta,Johansson,Ekvägen 949,Örebro,49703,Sverige,SE,19981203-2869,+46,0726-64 33 02,1998-12-03,True
Turid,Eide,Jørgensenfaret 9,Karennes,0144,Norge,NO,19700315-3114,+47,71 31 42 25,1970-03-15,True
David,Barnes,Morris Greens 797,Dakotaburgh,83950,Danmark,DK,19560503-1284,+45,714-307-0636x3282,1956-05-03,True
Janne,Jacobsen,Bergholtet 17,Magnesand,7687,Norge,NO,19850718-3234,+47,63 98 94 74,1985-07-18,True
Emma,Pedersen,Villagränd 47,Landskrona,75831,Sverige,SE,19780601-7125,+46,+46 (0)202 769 64,1978-06-01,True
Marjatta,Mattila,Harbonbulevardi 807,Mikkeli,33158,Finland,FI,19910510-598X,+358,045 539 9925,1991-05-10,True
Vilhelm,Nyberg,Villatorget 59,Norrköping,49323,Sverige,SE,19530711-7889,+46,+46 (0)32 69 61 23,1953-07-11,True
Sandra,Bolin,Idrottsstigen 71,Malmö,35876,Sverige,SE,19890604-1257,+46,08-02 99 50,1989-06-04,True
Anne,Olsen,Pettersenhøgda 35D,Eide,2788,Norge,NO,19690630-1168,+47,999 15 007,1969-06-30,True
Sune,Aronsson,Ängsvägen 0,Södertälje,27663,Sverige,SE,19400524-4170,+46,+46 (0)966 408 80,1940-05-24,True
Marie,Carlberg,Bäckvägen 0,Lidingö,73750,Sverige,SE,19960531-8677,+46,0879-932 46,1996-05-31,True
Karen,Thomassen,Jenssenlia 1,Fredriksen,2590,Norge,NO,19480109-4194,+47,45458487,1948-01-09,True
Pauline,Lindqvist,Skogsvägen 185,Nyköping,27314,Sverige,SE,19500410-0841,+46,08-13 32 75,1950-04-10,True
Leslie,Contreras,Andrea Mission 571,North Deanna,72026,Danmark,DK,19820906-8138,+45,(610)506-9166x00645,1982-09-06,True
David,Skog,Backtorget 94,Mölndal,67523,Sverige,SE,19491123-5976,+46,011-57 46 97,1949-11-23,True
Hans,Gustavsson,Stationstorget 9,Borås,40926,Sverige,SE,19491228-2095,+46,+46 (0)8 303 530 54,1949-12-28,True
Axel,Persson,Kyrkvägen 8,Landskrona,36917,Sverige,SE,19611005-5185,+46,072-80 24 95,1961-10-05,True
Martina,Said,Ringgatan 0,Ängelholm,67670,Sverige,SE,19850905-1786,+46,08-292 96 34,1985-09-05,True
Erin,Moss,Anthony Canyon 5564,Lake Tanya,53739,Danmark,DK,19820607-0602,+45,947-785-3173,1982-06-07,True
Micael,Strand,Skolgatan 000,Landskrona,11690,Sverige,SE,19920114-0034,+46,+46 (0)611 685 26,1992-01-14,True
Liv,Johnsen,Bakkenplassen 52,Johnsen,5148,Norge,NO,19800811-4416,+47,06 49 77 72,1980-08-11,True
Julie,Strand,Knudsenkroken 27A,Irenesand,9868,Norge,NO,19900205-4356,+47,+47 16 99 33 61,1990-02-05,True
Kalervo,Tarvainen,Wäinö Aaltosen bulevardi 625,Ylivieska,78016,Finland,FI,19910914-542V,+358,(+358) 115147886,1991-09-14,True
Henrik,Dahlin,Furuvägen 6,Gävle,94757,Sverige,SE,19470913-5412,46,+46 (0)674 497 50,1947-09-13,True
Andre,Berg,April Hollow 2938,West Patriciafort,33037,Danmark,DK,19530213-6019,+45,275.303.9732,1953-02-13,True
Ingemar,Ohlsson,Gengatan 8,Borlänge,44561,Sverige,SE,19681011-2440,+46,+46 (0)640 862 13,1968-10-11,True
Kristina,Johansson,Björkgränd 87,Motala,33363,Sverige,SE,19900623-0700,+46,0382-08 46 37,1990-06-23,True
Sebastian,Khan,Skolgatan 9,Piteå,88558,Sverige,SE,19580416-0135,+46,082-92 47 94,1958-04-16,True
